timestamp,bid_p1,bid_v1,bid_p2,bid_v2,bid_p3,bid_v3,bid_p4,bid_v4,bid_p5,bid_v5,bid_p6,bid_v6,bid_p7,bid_v7,bid_p8,bid_v8,bid_p9,bid_v9,bid_p10,bid_v10,ask_p1,ask_v1,ask_p2,ask_v2,ask_p3,ask_v3,ask_p4,ask_v4,ask_p5,ask_v5,ask_p6,ask_v6,ask_p7,ask_v7,ask_p8,ask_v8,ask_p9,ask_v9,ask_p10,ask_v10,mid_price,spread,spread_bps,imbalance_l1,total_bid_vol,total_ask_vol,imbalance_all,mid_return
2026-05-28 15:19:42.906061,72784.19,3.61152,72784.18,0.00086,72784.17,0.00014,72784.01,0.00016,72784.0,0.02456,72783.62,0.004,72783.44,8e-05,72783.31,0.00016,72783.3,2.55269,72783.29,1.87423,72784.2,1.28544,72784.21,0.00102,72784.22,0.00014,72785.12,0.00014,72785.5,0.00024,72785.51,0.22549,72785.52,0.00016,72785.53,0.08769,72785.96,7e-05,72786.0,0.00024,72784.195,0.00999999999476131,0.001373924654213914,0.47500490099980397,8.0684,1.60063,0.6689161167149135,
2026-05-28 15:19:43.155540,72784.19,3.61105,72784.18,0.00086,72784.17,0.00014,72784.01,0.00016,72784.0,0.02456,72783.62,0.004,72783.44,8e-05,72783.31,0.00016,72783.3,2.55269,72783.29,1.87423,72784.2,1.28413,72784.21,0.0011,72784.22,0.00014,72785.11,0.00016,72785.12,0.09081,72785.5,0.00024,72785.51,0.22549,72785.52,0.00016,72785.53,0.08769,72785.96,7e-05,72784.195,0.00999999999476131,0.001373924654213914,0.4753492210705225,8.06793,1.68999,0.6536167543902799,0.0
2026-05-28 15:19:43.590931,72784.19,2.16703,72784.18,0.00094,72784.17,0.00014,72784.01,0.00016,72784.0,0.02456,72783.44,8e-05,72783.29,0.0004,72783.28,6.00123,72783.2,8e-05,72782.17,7e-05,72784.2,3.20688,72784.21,0.00118,72784.22,0.00014,72784.68,0.00777,72785.11,0.00016,72785.12,0.09081,72785.38,8e-05,72785.44,0.004,72785.5,0.00024,72785.51,0.22549,72784.195,0.00999999999476131,0.001373924654213914,-0.19349970505646724,8.19469,3.53675,0.39704759177049026,0.0
2026-05-28 15:19:44.105630,72783.28,5.23452,72783.27,0.00086,72783.26,0.00014,72783.2,8e-05,72782.17,7e-05,72782.0,0.00856,72781.14,8e-05,72781.01,0.00206,72780.93,0.00026,72780.5,0.00536,72783.29,5.66063,72783.3,0.00038,72783.31,0.00014,72783.62,0.004,72784.0,0.00016,72784.01,0.17957,72784.14,7e-05,72784.18,0.00024,72784.19,0.39873,72784.2,0.39553,72783.285,0.00999999999476131,0.0013739418322161895,-0.039110062734335954,5.251989999999999,6.639449999999999,-0.11667720646111825,-1.250271435992989e-05
2026-05-28 15:19:44.599193,72783.28,5.23452,72783.27,0.00086,72783.26,0.00014,72783.2,8e-05,72782.17,7e-05,72782.0,0.00856,72781.74,8e-05,72781.01,0.00206,72780.93,0.00026,72780.5,0.00536,72783.29,5.7007,72783.3,0.00038,72783.31,0.00014,72783.62,0.004,72784.0,0.00016,72784.01,0.18257,72784.14,7e-05,72784.18,0.00024,72784.19,0.39873,72784.2,0.39543,72783.285,0.00999999999476131,0.0013739418322161895,-0.04263105817715605,5.251989999999999,6.68242,-0.11985762178440328,0.0
2026-05-28 15:19:45.103303,72783.28,5.23452,72783.27,0.00086,72783.26,0.00014,72783.2,8e-05,72782.17,7e-05,72782.0,0.00856,72781.74,8e-05,72781.01,0.00206,72780.93,0.00026,72780.5,0.00536,72783.29,5.70043,72783.3,0.00038,72783.31,0.00014,72783.62,0.004,72784.0,0.00113,72784.01,0.18257,72784.14,7e-05,72784.18,0.00024,72784.19,0.39873,72784.2,0.39543,72783.285,0.00999999999476131,0.0013739418322161895,-0.04260741932976374,5.251989999999999,6.683119999999999,-0.11990924256248998,0.0
2026-05-28 15:19:45.591461,72779.52,0.00563,72779.51,0.00072,72778.56,8e-05,72778.49,0.00042,72778.07,0.00011,72778.0,0.00856,72777.99,7e-05,72777.7,0.00616,72777.22,7e-05,72777.21,0.00024,72779.53,4.30751,72779.54,0.00022,72779.55,0.00014,72779.69,6.78351,72779.75,0.13413,72779.86,0.03407,72780.4,7e-05,72781.39,0.0915,72781.55,0.0915,72781.74,0.04032,72779.525,0.00999999999476131,0.001374012814010714,-0.9973893729394362,0.02206,11.482969999999998,-0.9961651555884687,-5.166021291846956e-05
2026-05-28 15:19:46.226674,72762.74,3.50479,72762.73,0.00064,72762.44,8e-05,72762.0,0.00856,72761.84,0.00016,72761.83,0.09456,72761.82,0.09144,72761.78,0.004,72761.72,8e-05,72761.7,0.00445,72762.75,2.19655,72762.76,0.00038,72762.77,0.00014,72763.26,0.00024,72763.27,0.00023,72764.38,0.00016,72764.39,0.0167,72764.59,0.00023,72765.44,7e-05,72765.51,0.09167,72762.745,0.00999999999476131,0.0013743296785685192,0.22946184581168638,3.7087600000000003,2.3063700000000003,0.23314375582905103,-0.00023055935031179864
2026-05-28 15:19:46.600434,72762.74,3.46487,72762.73,0.00064,72762.0,0.00856,72761.86,0.00016,72761.85,0.83216,72761.84,2.46185,72761.82,0.0916,72761.78,0.004,72761.7,0.00445,72761.69,0.002,72762.75,2.20516,72762.76,0.00038,72762.77,0.00014,72763.26,8e-05,72763.27,7e-05,72764.38,0.00016,72764.39,0.01686,72764.59,7e-05,72765.07,8e-05,72765.44,7e-05,72762.745,0.00999999999476131,0.0013743296785685192,0.22216990033562437,6.87029,2.22307,0.5110564191893865,0.0
2026-05-28 15:19:47.176737,72762.74,3.47133,72762.73,0.00064,72762.0,0.00856,72761.86,0.00016,72761.85,0.83216,72761.84,2.46201,72761.82,0.0916,72761.78,0.004,72761.7,0.00445,72761.69,0.002,72762.75,2.20461,72762.76,0.00038,72762.77,0.00014,72763.27,7e-05,72763.48,8e-05,72763.58,0.00016,72763.59,0.01393,72764.38,0.00024,72764.39,0.01686,72764.59,7e-05,72762.745,0.00999999999476131,0.0013743296785685192,0.22317360648632645,6.87691,2.23654,0.5091781926712714,0.0
